Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Sale,Previous_owners,Additions
كيا سورينتو,2007,69000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,,6+1,إمكانية التقسيط,للبيع أو التبديل,يد ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فورد ترانزيت,2006,35000,أبيض عاجي,ديزل,خصوصي,نمرة صفراء,عادي,الكتروني,2000,٢١٢٣٠٤٧,٨+١,إمكانية التقسيط,للبيع فقط,يد واله,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2010,275000,أصفر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,نقدا فقط,للبيع فقط,,
سيت قرطبة,2005,42000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٧٧٧٧٧٧٧,٤+١,إمكانية التقسيط,للبيع أو التبديل,٥,"إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد"
سوبارو نملة,1982,4800,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,77755578,,نقدا فقط,للبيع فقط,,
سكودا اوكتافيا,2008,67000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
ميتسوبيشي باجيرو,1999,45000,أخضر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2800,,6+1,نقدا فقط,للبيع فقط,,"مُكيّف,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
بي ام دبليو X5,2008,230000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,200000,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
شفروليه افيو,2005,3000,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
هونداي توسان,2010,70000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,77000,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سبورتاج,2011,84000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,000000,4+1,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
مرسيدس C270,2003,60000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,270,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن كادي,2015,100000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,١,٦+١,إمكانية التقسيط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فيات دوبلو,2011,65000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,300,6+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
سكودا اوكتافيا,2015,89000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,30000,5+1,نقدا فقط,للبيع أو التبديل,مش منمره,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
جييب  سوناتا,2005,60000,فضي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,,6+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد"
فولكسفاجن جولف,2012,85000,فضي,بنزين,تدريب سياقة,فلسطينية,عادي,الكتروني,1600,٢٢٠٠٠,,نقدا فقط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,وسادة حماية هوائية"
فولكسفاجن جولف,2000,55000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,165,4+1,نقدا فقط,للبيع فقط,00000,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي توسان,2008,65000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,80000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
سكودا فيليسيا,2000,25000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,2,نقدا فقط,للبيع فقط,3,"مُكيّف,مسجل,وسادة حماية هوائية"
اوبل كورسا,2013,57000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,٦٩٠٠٠,٤+١,إمكانية التقسيط,للبيع أو التبديل,ثالثه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن كادي,2017,142000,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,0,6+1,إمكانية التقسيط,للبيع فقط,0,"مُكيّف,مسجل,وسادة حماية هوائية"
شفروليه افيو,2006,2500,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,,
فولكسفاجن GTI,2007,72000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
جي ام سي  سفانا,2000,43000,رمادي,ديزل,تجاري,فلسطينية,اوتوماتيك,الكتروني,6500,666666,8+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل"
اوبل كورسا,2014,52000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70000,4+1,نقدا فقط,للبيع أو التبديل,اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اوبل استرا,2003,36000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,101,4+2,نقدا فقط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
مرسيدس S350 long,2006,258000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,000000000,5+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن بولو,2008,41500,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سيت ابيزا,2012,50000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,اول,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سكودا اوكتافيا,2010,60000,بني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
مرسيدس 280,1984,25000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2800,0000,4+1,إمكانية التقسيط,للبيع أو التبديل,5,"مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
سانغ يونغ كيرون,2012,85000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
دايو سبيرو,1995,15000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,,
سكودا اوكتافيا,2007,60000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2000,440000,,إمكانية التقسيط,للبيع فقط,5,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم"
مرسيدس E270,2001,45000,كحلي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,٤+١,نقدا فقط,للبيع فقط,٤,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا رابيد,2015,72000,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,33000,,نقدا فقط,للبيع فقط,,
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
مرسيدس 220,1995,22000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2200,شغال,4+1,نقدا فقط,للبيع أو التبديل,11,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
ميتسوبيشي سبيس ستار,2014,55000,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,54000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
كيا برايد,2008,48500,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,170000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فيات اونو,1988,7500,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,0000000,4+1,إمكانية التقسيط,للبيع أو التبديل,7,مسجل
سوبارو عريض,1989,21000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,شغال,4+١,نقدا فقط,للبيع فقط,,"مُكيّف,مسجل,فرش جلد"
شفروليه اوبترا,2008,39999,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,119000,,نقدا فقط,للتبديل فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
فولكسفاجن بولو,2014,65000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,550000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي توسان - مع بانوراما وبصمه وشاشة - كاميرا,2015,94000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,5+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا مورننغ,2015,50000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,39,4+1,نقدا فقط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سيت ليون,2016,370000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,52000,4+1,نقدا فقط,للبيع فقط,مش منمرة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن كبينة,1986,35000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,00,5+1,نقدا فقط,للبيع فقط,00,"مسجل,فرش جلد"
بيجو 306,1999,22000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,يدوي,1900,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
